Model,Feature_set,Param_space,Gene,train_statistic,test_statistic,train_P_value,test_P_value,test_Mean_Squared_Error,train_Mean_Squared_Error,n_trials,Total_train,Total_test,random_state,n_alphas,fit_intercept
RandomForestRegressor,Featset1,Original,SCN9A,0.3411726437368157,0.1967183971739095,9.472170543658489e-06,0.07837548096219095,0.05210735361040136,0.05358717529608187,10,161,81,250,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.4387405246292241,0.21648553537745593,5.831813979427982e-09,0.05223725967167736,0.0716696580210889,0.04440177444332135,10,161,81,374,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.35450957235439656,0.2665834218666454,3.951418554875027e-06,0.01614295778235994,0.05406114472787659,0.057278104695762264,10,161,81,728,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3718585261251544,0.2195048534068174,1.1923284517935805e-06,0.04896202749293817,0.057730318741478485,0.05169300363291317,10,161,81,22,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.17366212285515167,0.14402867873822411,0.027586026515072214,0.19955835875206815,0.0674995420027996,0.06001465972331843,10,161,81,491,92,False
RandomForestRegressor,Featset1,Original,SCN9A,0.30228532801280455,0.28863562379886415,9.72878874244027e-05,0.008969481551847328,0.04990409338249343,0.06010434502158649,10,161,81,998,28,True
RandomForestRegressor,Featset1,Original,SCN9A,0.44804186361376924,0.015304619290604376,2.5276933666039565e-09,0.8921307084385772,0.06969927442446297,0.04411037430260112,10,161,81,653,28,True
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.056553211428713474,0.06045917847562775,10,161,81,69,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.415264007645473,0.20600133752778715,4.315294077352305e-08,0.06503197901825332,0.06566880729686707,0.04705344905333921,10,161,81,895,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.4245542081188253,0.030921455921536067,1.99041504164605e-08,0.7840591333416932,0.07645373402776894,0.04905286260439182,10,161,81,845,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.33850272489380184,0.23659933389933394,1.1230390811096673e-05,0.03345407825663717,0.0492920226737773,0.05407358959656446,10,161,81,423,77,True
RandomForestRegressor,Featset1,Original,SCN9A,0.13955467994170795,0.03135628346006442,0.07746242718990402,0.7810978790853031,0.06230077876973473,0.05756426259168356,10,161,81,193,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.23477120620697026,0.19403980500650242,0.0027201247537769757,0.08260742265008307,0.05208789785336125,0.061128829360404195,10,161,81,670,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.39547836408150217,0.2278150913383554,2.0780582311346413e-07,0.04081063955535126,0.06818506670866975,0.05116116970618865,10,161,81,435,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.28764279978638246,0.20910956069466818,0.00021573237572525728,0.0609987806424277,0.0561623135594789,0.058901457570523244,10,161,81,318,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.2446859402155926,0.04903651629911148,0.0017587003760728749,0.6637578067668622,0.06847288405549821,0.05744432575717763,10,161,81,271,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.43191306564200754,0.1098480846452168,1.0603482149300526e-08,0.32895303821251143,0.06369081126807835,0.05161555375374314,10,161,81,401,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3857242972080274,0.13172167519882133,4.3471648854864567e-07,0.24112288098280502,0.05544655375322655,0.050118963447980315,10,161,81,226,28,True
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.055099979723260306,0.06005869883606762,10,161,81,798,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.45520133858128,0.251372160992124,1.3053555049728352e-09,0.023594689904909174,0.05599370286987763,0.048255321981100795,10,161,81,774,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3081411074545521,-0.0037413079971410053,6.990475476316196e-05,0.9735561461601383,0.0630772128903489,0.053588051933339244,10,161,81,788,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3666647711103056,0.2766575419573939,1.719398660498492e-06,0.012411471081395224,0.06637019914183404,0.046186763638383886,10,161,81,749,97,True
RandomForestRegressor,Featset1,Original,SCN9A,,,,,0.05417231584234243,0.058319946547724245,10,161,81,315,23,True
RandomForestRegressor,Featset1,Original,SCN9A,0.3360510234861277,0.27721639764451006,1.3112886378298563e-05,0.012228455647862112,0.057743872431224794,0.05100089502108984,10,161,81,665,27,True
RandomForestRegressor,Featset1,Original,SCN9A,0.19073464527011294,0.15651471271547396,0.015368097443664696,0.16290899577196044,0.05758210077092458,0.05948019885069713,10,161,81,466,23,True
